;class;message;not_stemmed;stemmed
12;spam;URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18;urgent you have won a number week free membership in our moneysymb number number prize jackpot text the word claim to no number t c httpaddr lccltd poor number long number a number rw number;urgent number week free membership moneysymb number number prize jackpot text word claim number c httpaddr lccltd poor number long number number rw number
13;ham;I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.;i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times;search right word thank breather promis wont take help grant fulfil promis wonder bless time
14;ham;I HAVE A DATE ON SUNDAY WITH WILL!!;i have a date on sunday with will;date sunday
15;spam;XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL;xxxmobilemovieclub to use your credit click the was link in the next text message or click here httpaddr httpaddr;xxxmobilemovieclub use credit click link next text messag click httpaddr httpaddr
16;ham;Oh k...i'm watching here:);oh k i m watching here;oh k watch
17;ham;Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.;eh you remember how number spell his name yes i did he v naughty make until i v wet;eh rememb number spell name ye v naughti make v wet
18;ham;Fine if thats the way u feel. Thats the way its gota b;fine if that s the way you feel that s the way its got b;fine way feel way got b
19;spam;England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+;england v macedonia dont miss the goals team news text ur national team to number eg england to number try wales scotland number text a number poboxox number w number we number;england v macedonia dont miss goal team news text ur nation team number eg england number tri wale scotland number text number poboxox number w number number
20;ham;Is that seriously how you spell his name?;is that seriously how you spell his name;serious spell name
21;ham;I‘m going to try for 2 months ha ha only joking;i m going to try for number months ha ha only joking;go tri number month ha ha joke
22;ham;So ü pay first lar... Then when is da stock comin...;so a pay first lar then when is da stock coming;pay first lar da stock come
23;ham;Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?;aft i finish my lunch then i go str down lor and number smith lor you finish ur lunch already;aft finish lunch go str lor number smith lor finish ur lunch alreadi
24;ham;Ffffffffff. Alright no way I can meet up with you sooner?;ffffffffff alright no way i can meet up with you sooner;ffffffffff alright way meet sooner
25;ham;Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol;just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol;forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26;ham;Lol your always so convincing.;lol your always so convincing;lol alway convinc
27;ham;Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?;did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love;catch bu fri egg make tea eat mom left dinner feel love
28;ham;"I'm back &amp; we're packing the car now, I'll let you know if there's room";i m back amp we re packing the car now i ll let you know if there s room;back amp pack car let know room
29;ham;Ahhh. Work. I vaguely remember that! What does it feel like? Lol;ahhh work i vaguely remember that what does it feel like lol;ahhh work vagu rememb feel like lol
30;ham;Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us;wait that s still not all that clear were you not sure about me being sarcastic or that that s why x does t want to live with us;wait still clear sure sarcast x want live us
31;ham;Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ;yeah he got in at number and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till number but we won t go there not doing too badly cheers you;yeah got number v apologet n fallen actin like spoilt child got caught till number go badli cheer
32;ham;K tell me anything about you.;k tell me anything about you;k tell anyth
33;ham;For fear of fainting with the of all that housework you just did? Quick have a cuppa;for fear of fainting with the of all that housework you just did quick have a cuppa;fear faint housework quick cuppa
34;spam;Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged;thanks for your subscription to kington uk your mobile will be charged moneysymb number month please confirm by replying yes or no if you reply no you will not be charged;thank subscript kington uk mobil charg moneysymb number month pleas confirm repli ye repli charg
35;ham;Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am;yup ok i go home look at the timings then i msg a again uhum going to learn on number nd may too but her lesson is at number am;yup ok go home look time msg uhum go learn number nd may lesson number
36;ham;Oops, I'll let you know when my roommate's done;oops i ll let you know when my roommate s done;oop let know roommat done
37;ham;I see the letter B on my car;i see the letter b on my car;see letter b car
38;ham;Anything lor... U decide...;anything lor you decide;anyth lor decid
39;ham;Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!;hello how s you and how did saturday go i was just testing to see if you d decided to do anything tomo not that i m trying to invite myself or anything;hello saturday go test see decid anyth tomo tri invit anyth
40;ham;Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola;pls go ahead with watts i just wanted to be sure do have a great weekend angola;pl go ahead watt want sure great weekend angola
41;ham;Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy;did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmm yummy;forget tell want need crave love sweet arabian steed mmmm yummi
42;spam;07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow;number rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now phonenumber for delivery tomorrow;number rodger burn msg tri call repli sm free nokia mobil free camcord pleas call phonenumb deliveri tomorrow
43;ham;WHO ARE YOU SEEING?;who are you seeing;see
44;ham;"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...";great i hope you like your man well endowed i am lt gt inches;great hope like man well endow lt gt inch
45;ham;No calls..messages..missed calls;no calls messages missed calls;call messag miss call
46;ham;Didn't you get hep b immunisation in nigeria.;didn t you get hep b immunisation in nigeria;get hep b immunis nigeria
47;ham;Fair enough, anything going on?;fair enough anything going on;fair enough anyth go
48;ham;Yeah hopefully, if tyler can't do it I could maybe ask around a bit;yeah hopefully if tyler can t do it i could maybe ask around a bit;yeah hope tyler could mayb ask around bit
49;ham;U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.;u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers;u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50;ham;What you thinked about me. First time you saw me in class.;what you thanked about me first time you saw me in class;thank first time saw class
51;ham;"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;";a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt;gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52;ham;K fyi x has a ride early tomorrow morning but he's crashing at our place tonight;k fbi x has a ride early tomorrow morning but he s crashing at our place tonight;k fbi x ride earli tomorrow morn crash place tonight
53;ham;"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.";wow i never realized that you were so embarrassed by your accommodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarrassing;wow never realiz embarrass accommod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarrass
54;spam;SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV;sms ac stv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end stv;sm ac stv new jersey devil detroit red wing play ice hockey correct incorrect end repli end stv
55;ham;"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;";do you know what mallia sherawat did yesterday find out now lt usl gt;know mallia sherawat yesterday find lt usl gt
56;spam;Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ;congrats number year special cinema pass for number is yours call phonenumber now c superman v matrix number starters number etc all number free bx number ip number number we number pm dont miss out;congrat number year special cinema pass number call phonenumb c superman v matrix number starter number etc number free bx number ip number number number pm dont miss
57;ham;Sorry, I'll call later in meeting.;sorry i ll call later in meeting;sorri call later meet
58;ham;Tell where you reached;tell where you reached;tell reach
59;ham;Yes..gauti and sehwag out of odi series.;yes gaudi and sewage out of odi series;ye gaudi sewag odi seri
60;ham;Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.;your gonna have to pick up a moneysymb number burger for yourself on your way home i can t even move pain is killing me;gonna pick moneysymb number burger way home even move pain kill
61;ham;Ha ha ha good joke. Girls are situation seekers.;ha ha ha good joke girls are situation seekers;ha ha ha good joke girl situat seeker
62;ham;Its a part of checking IQ;its a part of checking iq;part check iq
63;ham;Sorry my roommates took forever, it ok if I come by now?;sorry my room-mates took forever it ok if i come by now;sorri room-mat took forev ok come
64;ham;Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.;ok lar i double check if da hair dresser already he said run cut v short he said will cut until i look nice;ok lar doubl check da hair dresser alreadi said run cut v short said cut look nice
65;spam;As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589;as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a moneysymb number bonus prize call number;valu custom pleas advis follow recent review mob award moneysymb number bonu prize call number
66;ham;"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...";today is song dedicated day which song will you dedicate for me send this to all ur valuable funds but first reply me;today song dedic day song dedic send ur valuabl fund first repli
67;spam;Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ;urgent ur awarded a complimentary trip to eurodisinc trap act entry number or moneysymb number to claim text dis to number number number moneysymb number morefrmmob shracomorsglsuplt number ls number number aj;urgent ur award complimentari trip eurodisinc trap act entri number moneysymb number claim text di number number number moneysymb number morefrmmob shracomorsglsuplt number ls number number aj
68;spam;"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!";did you hear about the new divorce barbie it comes with all of ken s stuff;hear new divorc barbi come ken stuff
69;ham;I plane to give on this month end.;i plane to give on this month end;plane give month end
70;ham;Wah lucky man... Then can save money... Hee...;wah lucky man then can save money hee;wah lucki man save money hee
71;ham;Finished class where are you.;finished class where are you;finish class
72;ham;HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX;hi babe im at home now wanna do something xx;hi babe im home wanna someth xx
73;ham;K..k:)where are you?how did you performed?;k k where are you how did you performed;k k perform
74;ham;U can call me now...;u can call me now;u call
75;ham;I am waiting machan. Call me once you free.;i am waiting machin call me once you free;wait machin call free
76;ham;Thats cool. i am a gentleman and will treat you with dignity and respect.;thats cool i am a gentleman and will treat you with dignity and respect;that cool gentleman treat digniti respect
77;ham;I like you peoples very much:) but am very shy pa.;i like you peoples very much but am very shy pa;like peopl much shi pa
78;ham;"Does not operate after  &lt;#&gt;  or what";does not operate after lt gt or what;oper lt gt
79;ham;Its not the same here. Still looking for a job. How much do Ta's earn there.;its not the same here still looking for a job how much do ta s earn there;still look job much ta earn
80;ham;Sorry, I'll call later;sorry i ll call later;sorri call later
81;ham;K. Did you call me just now ah? ;k did you call me just now ah;k call ah
82;ham;Ok i am on the way to home hi hi;ok i am on the way to home hi hi;ok way home hi hi
83;ham;You will be in the place of that man;you will be in the place of that man;place man
84;ham;Yup next stop.;yup next stop;yup next stop
85;ham;I call you later, don't have network. If urgnt, sms me.;i call you later don t have network if urgent sms me;call later network urgent sm
86;ham;For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.;for real when you getting on yo i only need number more tickets and one more jacket and i m done i already used all my multi;real get yo need number ticket one jacket done alreadi use multi
87;ham;Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.;yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitrous;ye start send request make pain came back back bed doubl coin factori gotta cash nitrou
88;ham;I'm really not up to it still tonight babe;i m really not up to it still tonight babe;realli still tonight babe
89;ham;Ela kano.,il download, come wen ur free..;ela kano il download come wen ur free;ela kano il download come wen ur free
90;ham;Yeah do! Don‘t stand to close tho- you‘ll catch something!;yeah do don t stand to close tho you ll catch something;yeah stand close tho catch someth
91;ham;Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ;sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff number moro and that includes all my time sheets and that sorry;sorri pain ok meet anoth night spent late afternoon casualti mean done stuff number moro includ time sheet sorri
92;ham;Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!;smile in pleasure smile in pain smile when trouble pours like rain smile when sum number hurts you smile become someone still loves to see you smiling;smile pleasur smile pain smile troubl pour like rain smile sum number hurt smile becom someon still love see smile
93;spam;Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!;please call our customer service representative on number number number between number am number pm as you have won a guaranteed moneysymb number cash or moneysymb number prize;pleas call custom servic repres number number number number number pm guarante moneysymb number cash moneysymb number prize
94;ham;Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?;havent planning to buy later i check already lido only got number show in e afternoon you finish work already;havent plan buy later check alreadi lido got number show e afternoon finish work alreadi
95;spam;"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16";your free kington is waiting to be collected simply text the password mix to number to verify get usher and whitney ml po box number mk number number h number pp. number;free kington wait collect simpli text password mix number verifi get usher whitney ml po box number mk number number h number pp. number
96;ham;Watching telugu movie..wat abt u?;watching telugu movie wat at u;watch telugu movi wat u
97;ham;i see. When we finish we have loads of loans to pay;i see when we finish we have loads of loans to pay;see finish load loan pay
98;ham;"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""";hi we been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u;hi ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
99;ham;I see a cup of coffee animation;i see a cup of coffee animation;see cup coffe anim
100;ham;Please don't text me anymore. I have nothing else to say.;please don t text me anymore i have nothing else to say;pleas text anymor noth els say
101;ham;Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx;okay name ur price as long as its legal wen can i pick them up y you ave x ams xx;okay name ur price long legal wen pick ave x am xx
102;ham;I'm still looking for a car to buy. And have not gone 4the driving test yet.;i m still looking for a car to buy and have not gone number the driving test yet;still look car buy gone number drive test yet
103;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;as per your request belle belle or minnaminunginte nurungu vietnam has been set as your callertune for all callers press number to copy your friends callertune;per request bell bell minnaminungint nurungu vietnam set callertun caller press number copi friend callertun
104;ham;wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.;wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nec something changed cut on my signing page it still says boston;wow right mean guess gave boston men chang search locat nec someth chang cut sign page still say boston
105;ham;Umma my life and vava umma love you lot dear;umma my life and lava umma love you lot dear;umma life lava umma love lot dear
106;ham;Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.;thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable;thank lot wish birthday thank make birthday truli memor
107;ham;Aight, I'll hit you up when I get some cash;right i ll hit you up when i get some cash;right hit get cash
108;ham;How would my ip address test that considering my computer isn't a minecraft server;how would my ip address test that considering my computer in t a mineshaft server;would ip address test consid comput mineshaft server
109;ham;I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...;i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes;know grumpi old peopl mom like better lie alway one play joke
110;ham;Dont worry. I guess he's busy.;dont worry i guess he s busy;dont worri guess busi
111;ham;What is the plural of the noun research?;what is the plural of the noun research;plural noun research
112;ham;Going for dinner.msg you after.;going for httpaddr you after;go httpaddr
113;ham;I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.;i m ok if it cos i like number try new things but i scared you dun like mah cos you said not too loud;ok co like number tri new thing scare dun like mah co said loud
114;spam;GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm;gent we are trying to contact you last weekends draw shows that you won a moneysymb number prize guaranteed call number claim code k number valid number hrs only number ppm;gent tri contact last weekend draw show moneysymb number prize guarante call number claim code k number valid number hr number ppm
115;ham;Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?;wa ur openin sentence very formal anyway i m fine too jug tt i m eating too much n putting on weight aha so anything special happened;wa ur openin sentenc formal anyway fine jug tt eat much n put weight aha anyth special happen
116;ham;As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.;as i entered my cabin my pa said happy b day boss i felt special she asked me number lunch after lunch she invited me to her apartment we went there;enter cabin pa said happi b day boss felt special ask number lunch lunch invit apart went
117;spam;You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ;you are a winner you have been specially selected number receive moneysymb number or a number holiday flights inc speak to a live operator number claim number p min number;winner special select number receiv moneysymb number number holiday flight inc speak live oper number claim number p min number
118;ham;Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ;good yes we must speak friday egg potato ratio for tortilla needed;good ye must speak friday egg potato ratio tortilla need
119;ham;Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.;hmm my uncle just informed me that he s paying the school directly so pls buy food;hmm uncl inform pay school directli pl buy food
120;spam;PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires;private your number account statement for phonenumber shows number unredeemed bonus points to claim call phonenumber identifier code number expires;privat number account statement phonenumb show number unredeem bonu point claim call phonenumb identifi code number expir
121;spam;URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM;urgent your mobile no was awarded moneysymb number bonus caller prize on number number number this is our final try to contact u call from landmine phonenumber box number wr number c number ppm;urgent mobil award moneysymb number bonu caller prize number number number final tri contact u call landmin phonenumb box number wr number c number ppm
122;ham;here is my new address -apples&pairs&all that malarky;here is my new address apples pairs all that malarkey;new address appl pair malarkey
123;spam;Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app;todays soda numbers ending number are selected to receive a moneysymb number award if you have a match please call phonenumber quoting claim code number standard rates app;today soda number end number select receiv moneysymb number award match pleas call phonenumb quot claim code number standard rate app
124;ham;I am going to sao mu today. Will be done only at 12 ;i am going to sao mu today will be done only at number;go sao mu today done number
125;ham;Ü predict wat time ü'll finish buying?;a predict wat time a ll finish buying;predict wat time finish buy
126;ham;Good stuff, will do.;good stuff will do;good stuff
127;ham;Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.;just so that you know retune has t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i should t have imposed anything on you in the first place so for that i apologise;know retun sent money yet sent text bother send dont involv anyth impos anyth first place apologis
128;ham;Are you there in room.;are you there in room;room
129;ham;HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx;hey girl how r u hope you r well me an del r back again long time no c give me a call sum time from lucy;hey girl r u hope r well del r back long time c give call sum time luci
130;ham;K..k:)how much does it cost?;k k how much does it cost;k k much cost
131;ham;I'm home.;i m home;home
132;ham;Dear, will call Tmorrow.pls accomodate.;dear will call httpaddr accomodate;dear call httpaddr accomod
133;ham;First answer my question.;first answer my question;first answer question
134;spam;Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone;sunshine quiz wily q win a top sony did player if you know which country the algarve is in text ansi to number moneysymb number sp tyrone;sunshin quiz wili q win top soni player know countri algarv text ansi number moneysymb number sp tyron
135;spam;Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p;want number get laid tonight want real dogging locations sent direct number ur mob join the uk s largest dogging network bt toting gravel to number nt ec number a httpaddr;want number get laid tonight want real dog locat sent direct number ur mob join uk largest dog network bt tote gravel number nt ec number httpaddr
136;ham;I only haf msn. It's yijue@hotmail.com;i only had msn it s emailaddr;msn emailaddr
137;ham;He is there. You call and meet him;he is there you call and meet him;call meet
138;ham;No no. I will check all rooms befor activities;no no i will check all rooms before activities;check room activ
139;spam;You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again;you ll not rev any more mugs from the chat sic for free hardcore services text go to number if you get nothing you must age verify with yr network try again;rev mug chat sic free hardcor servic text go number get noth must age verifi yr network tri
140;ham;Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...;got c i lazy to type i forgot a in left i saw a pouch but like not v nice;got c lazi type forgot left saw pouch like v nice
141;ham;K, text me when you're on the way;k text me when you re on the way;k text way
142;ham;Sir, Waiting for your mail.;sir waiting for your mail;sir wait mail
143;ham;"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8";a set thought over get tired of doing little things number lovable persons coz sometimes those little things occupy d biggest part in their hearts god ni number;set thought get tire littl thing number lovabl person coz sometim littl thing occupi biggest part heart god ni number
144;ham;I know you are. Can you pls open the back?;i know you are can you pls open the back;know pl open back
145;ham;Yes see ya not on the dot;yes see ya not on the dot;ye see ya dot
146;ham;Whats the staff name who is taking class for us?;whats the staff name who is taking class for us;what staff name take class us
147;spam;FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end;freeman why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd number p per msg reply stop to end;freeman repli text randi sexi femal live local luv hear u netcollex ltd number p per msg repli stop end
148;ham;Ummma.will call after check in.our life will begin from qatar so pls pray very hard.;httpaddr call after check httpaddr life will begin from qatar so pls pray very hard;httpaddr call check httpaddr life begin qatar pl pray hard
149;ham;K..i deleted my contact that why?;k i deleted my contact that why;k delet contact
150;ham;Sindu got job in birla soft ..;hindu got job in bira soft;hindu got job bira soft
151;ham;The wine is flowing and i'm i have nevering..;the wine is flowing and i m i have severing;wine flow sever
152;ham;Yup i thk cine is better cos no need 2 go down 2 plaza mah.;yup i the cine is better cos no need number go down number plaza mah;yup cine better co need number go number plaza mah
153;ham;Ok... Ur typical reply...;ok ur typical reply;ok ur typic repli
154;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;as per your request belle belle or minnaminunginte nurungu vietnam has been set as your callertune for all callers press number to copy your friends callertune;per request bell bell minnaminungint nurungu vietnam set callertun caller press number copi friend callertun
155;ham;You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.;you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows httpaddr see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one;everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show httpaddr see guess like thing must exist like rain hail mist time done becom one
156;ham;Aaooooright are you at work?;aaooooright are you at work;aaooooright work
157;ham;I'm leaving my house now...;i m leaving my house now;leav hous
